x,y,z
-167.5454118037,57.6418801096,-68.0279
-167.5453951606,57.6418809828,-68.2742
-167.5453823205,57.6418816762,-68.2156
-167.5453694221,57.6418823782,-68.1309
-167.5453562388,57.6418830935,-68.0547
-167.5453422788,57.641883848,-68.027
-167.5453292922,57.6418845548,-67.9332
-167.5453163739,57.6418852616,-67.801
-167.5453030113,57.6418859919,-67.6917
-167.5452883828,57.6418867799,-67.6701
-167.545273632,57.6418875778,-67.6303
-167.5452588165,57.6418883793,-67.6039
-167.5452444245,57.6418891631,-67.5108
-167.5452319584,57.6418898567,-67.2772
-167.5452198194,57.6418905368,-67.0152
-167.5451968062,57.641891732,-67.4621
-167.5451803103,57.6418926228,-67.4441
-167.5451613594,57.6418936328,-67.5608
-167.5451430764,57.641894612,-67.6134
-167.5451257285,57.6418955491,-67.592
-167.5451031576,57.6418967353,-67.8851
-167.5450833472,57.6419003759,-68.0486
-167.5450696889,57.6419011535,-67.7578
-167.545057175,57.6419018756,-67.3948
-167.5450451624,57.6419025716,-67.0182
-167.5450309026,57.6419033836,-66.7328
-167.5450102569,57.6419045203,-66.7756
-167.5449909326,57.6419055915,-66.7256
-167.5449562696,57.6419074414,-67.4418
-167.5449340255,57.6419086622,-67.5122
-167.5449113005,57.6419099136,-67.5588
-167.5448907205,57.6419110585,-67.4764
-167.5448695795,57.6419122328,-67.3971
-167.5448477975,57.6419134412,-67.3524
-167.5448000292,57.6419159735,-68.4692
-167.5448041564,57.641915871,-67.1613
-167.5447839724,57.641917007,-66.957
-167.5447639393,57.6419181376,-66.7271
-167.5447428318,57.6419193226,-66.5521
-167.544720212,57.641920589,-66.3911
-167.5446970274,57.641921888,-66.2345
-167.5446713224,57.6419233178,-66.1552
-167.5446445734,57.6419248043,-66.0968
-167.544612368,57.6419265718,-66.2444
-167.5445835217,57.6419281729,-66.2045
-167.5445539887,57.6419298123,-66.1591
-167.5445234652,57.6419315065,-66.1212
-167.544491684,57.6419332655,-66.1275
-167.5444658583,57.6419347243,-65.8559
-167.5444338775,57.641936504,-65.7749
-167.5443990553,57.6419384345,-65.7637
-167.5443628573,57.6419404402,-65.7559
-167.5443314976,57.6419421968,-65.5802
-167.5443005143,57.6419439405,-65.33
-167.5442570152,57.641946338,-65.4521
-167.5442138694,57.6419487222,-65.5097
-167.5441779217,57.6419507344,-65.3293
-167.5441357346,57.641953079,-65.2712
-167.5440966826,57.6419552648,-65.0824
-167.5440564333,57.6419575186,-64.8799
-167.5440172025,57.6419597241,-64.6101
-167.5439805041,57.641961799,-64.255
-167.5439361193,57.6419642841,-64.044
-167.5438802747,57.6419673759,-64.0895
-167.5438253729,57.6419704255,-64.0466
-167.54377479,57.6419732521,-63.8613
-167.5437278513,57.6419758963,-63.5044
-167.5436827362,57.6419784513,-63.0483
-167.5436284411,57.6419814964,-62.7602
-167.5487128001,57.6417187053,-62.5769
-167.5486627781,57.6417210383,-62.9678
-167.5486116732,57.6417234361,-63.2492
-167.5485644276,57.6417256416,-63.6024
-167.5485052088,57.6417284614,-63.5921
-167.5484478193,57.6417311961,-63.5647
-167.5483974968,57.6417335822,-63.6389
-167.5483546977,57.6417355881,-63.8919
-167.5483085123,57.6417377723,-64.0074
-167.5482680561,57.6417396696,-64.2324
-167.5482283443,57.6417415343,-64.4417
-167.5481908151,57.6417432963,-64.6412
-167.5481524551,57.6417451017,-64.8025
-167.5481165347,57.6417467874,-65.0015
-167.5480849006,57.6417482564,-65.3032
-167.5480502568,57.6417498849,-65.4723
-167.5480170812,57.6417514452,-65.6325
-167.5479850599,57.6417529467,-65.8184
-167.5479527894,57.6417544655,-65.9636
-167.5479131791,57.6417563672,-65.8202
-167.5478822584,57.6417578275,-65.9169
-167.5478523634,57.6417592345,-66.0506
-167.5478194831,57.641760801,-66.0356
-167.547789413,57.6417622252,-66.0911
-167.5477616532,57.6417635335,-66.2051
-167.5477335707,57.6417648642,-66.2533
-167.5477056281,57.6417661883,-66.3066
-167.5476796286,57.6417674144,-66.405
-167.5476557578,57.6417685318,-66.5645
-167.5476363311,57.6417694229,-66.866
-167.5476168198,57.6417703172,-67.1734
-167.5475948831,57.6417713411,-67.3527
-167.5475640868,57.6417728342,-67.1174
-167.5475425441,57.6417738431,-67.2648
-167.5475256688,57.6417746107,-67.5933
-167.5475096076,57.6417753364,-67.9606
-167.5474926158,57.6417761114,-68.2693
-167.5474758783,57.6417768756,-68.577
-167.5474589268,57.6417776554,-68.8374
-167.5474406073,57.6417785069,-69.0374
-167.547422165,57.6417793674,-69.2202
-167.5474017196,57.6417803359,-69.2757
-167.5473765486,57.6417815585,-69.0606
-167.5473476163,57.6417829869,-68.5913
-167.5473067055,57.6417850543,-67.4516
-167.5472913194,57.641785764,-67.6717
-167.5472742882,57.6417865637,-67.786
-167.5472529029,57.6417876011,-67.6181
-167.5472247877,57.6417889967,-67.0459
-167.5472118948,57.6417895811,-67.3415
-167.5472002674,57.6417901002,-67.7055
-167.547188541,57.6417906246,-68.0565
-167.5471703807,57.6418041604,-68.1059
-167.5471454091,57.6418051957,-67.5972
-167.54712318,57.6418061194,-67.2248
-167.5471007423,57.6418070495,-66.8075
-167.5470867552,57.641807636,-66.9384
-167.5470777822,57.6418080177,-67.3629
-167.5470676362,57.6418084487,-67.7265
-167.5470568591,57.6418089067,-68.0418
-167.5470426876,57.6418095046,-68.1091
-167.5470291823,57.641810076,-68.1893
-167.5470148626,57.6418106806,-68.2185
-167.5470010617,57.6418112671,-68.273
-167.5469860903,57.6418119006,-68.224
-167.5469729486,57.6418124598,-68.3006
-167.5469600157,57.641813012,-68.3593
-167.5469464706,57.6418135906,-68.3872
-167.5469331033,57.6418141611,-68.4076
-167.5469201494,57.6418147182,-68.4496
-167.5469079706,57.6418152419,-68.5213
-167.5468943715,57.6418158247,-68.4823
-167.5468830573,57.6418163165,-68.6295
-167.5468711672,57.6418168331,-68.7169
-167.5468602737,57.64181731,-68.8849
-167.5468461136,57.641817916,-68.7174
-167.5468272255,57.6418187085,-68.1059
-167.5468141491,57.6418192727,-68.0205
-167.5468040983,57.641819719,-68.2171
-167.5467951891,57.6418201211,-68.4988
-167.5467862764,57.6418205257,-68.8035
-167.54677759,57.6418209229,-69.131
-167.5467638793,57.6418215145,-68.9243
-167.5467459202,57.6418222693,-68.2356
-167.5467301235,57.6418229366,-67.7317
-167.5467207795,57.6418233609,-67.9396
-167.5467115019,57.6418237838,-68.1518
-167.5467014851,57.641824235,-68.274
-167.5466907966,57.6418247116,-68.2821
-167.5466788864,57.6418252333,-68.1566
-167.5466669073,57.6418257589,-68.0054
-167.5466556519,57.6418262566,-67.929
-167.5466451084,57.6418267322,-67.9308
-167.5466352651,57.641827178,-67.9869
-167.5466253416,57.6418276292,-68.0529
-167.5466153544,57.6418280833,-68.102
-167.5466056136,57.641828531,-68.1776
-167.5465960048,57.6418289732,-68.2654
-167.5465867573,57.6418294014,-68.3699
-167.5465772073,57.6418298429,-68.4543
-167.5465675503,57.6418302887,-68.5152
-167.54655775,57.6418307398,-68.5454
-167.5465482359,57.641831181,-68.5801
-167.5465386307,57.6418316267,-68.6256
-167.5465288152,57.6418320795,-68.6263
-167.5465188531,57.6418325372,-68.59
-167.5465088219,57.6418330005,-68.5463
-167.546499452,57.6418334372,-68.56
-167.5464900277,57.6418338791,-68.5923
-167.5464807295,57.6418343178,-68.6419
-167.5464714243,57.6418347573,-68.6829
-167.5464614264,57.6418352162,-68.5238
-167.5464497999,57.64183572,-68.0251
-167.5464412999,57.6418361375,-68.2032
-167.5464329957,57.6418365514,-68.4307
-167.5464242943,57.6418369769,-68.5667
-167.5464156856,57.6418373969,-68.6783
-167.5464069535,57.6418378254,-68.8061
-167.5463982443,57.6418382528,-68.9421
-167.5463896849,57.6418386802,-69.1213
-167.5463811021,57.6418391045,-69.2428
-167.5463722124,57.6418395412,-69.3278
-167.5463631232,57.6418399822,-69.3451
-167.5463536935,57.6418404306,-69.2343
-167.5463445773,57.641840872,-69.2182
-167.5463353021,57.6418413084,-69.0588
-167.5463256257,57.6418417556,-68.7807
-167.5463181635,57.641842182,-69.4171
-167.5462905599,57.6418434991,-68.9737
-167.5462807711,57.6418439333,-68.456
-167.5462719352,57.6418443692,-68.4305
-167.5462631363,57.6418448055,-68.4153
-167.5462544683,57.6418452313,-68.3513
-167.5462457125,57.641845668,-68.338
-167.5462370069,57.6418461067,-68.3579
-167.5462283286,57.6418465478,-68.403
-167.5462196949,57.6418469943,-68.5102
-167.5462112054,57.6418474327,-68.5997
-167.5462024825,57.6418478768,-68.6184
-167.5461937485,57.6418483196,-68.6087
-167.5461850268,57.6418487658,-68.6253
-167.5461764818,57.6418492054,-68.655
-167.5461683866,57.641853599,-69.5804
-167.546159481,57.6418541107,-69.917
-167.5461504355,57.6418546467,-70.3662
-167.5461415006,57.6418551002,-70.3071
-167.546132924,57.6418554973,-69.9864
-167.5461242171,57.6418559053,-69.6957
-167.5461154677,57.6418563382,-69.5398
-167.5461066955,57.6418567828,-69.4417
-167.5460983532,57.6418571776,-69.1504
-167.5460897146,57.6418576092,-68.9965
-167.5460805727,57.6418581251,-69.2112
-167.5460716387,57.6418586059,-69.2526
-167.5460626911,57.6418590876,-69.2866
-167.54605395,57.6418595555,-69.2936
-167.5460451269,57.6418600199,-69.2406
-167.5460364132,57.6418604716,-69.1344
-167.5460276746,57.6418609284,-69.0438
-167.5460187356,57.6418614223,-69.1145
-167.5460091219,57.6418619785,-69.3573
-167.5459996222,57.6418625204,-69.5273
-167.5459902409,57.6418630468,-69.6293
-167.5459812685,57.6418635289,-69.5751
-167.5459729285,57.6418639558,-69.3737
-167.5459650254,57.641864333,-68.9898
-167.5459574105,57.6418646887,-68.5482
-167.5459492921,57.6418650964,-68.2721
-167.5459395439,57.6418656683,-68.4969
-167.5459292306,57.6418662855,-68.7977
-167.5459194728,57.6418668436,-68.921
-167.5459094281,57.6418674306,-69.102
-167.545899147,57.6418680376,-69.336
-167.5458894473,57.6418685964,-69.4381
-167.5458802841,57.6418691017,-69.3648
-167.545871307,57.6418695918,-69.2472
-167.5458624932,57.6418700692,-69.0937
-167.5458540089,57.6418705202,-68.8743
-167.5458455308,57.6418709779,-68.6947
-167.5458370522,57.641871432,-68.479
-167.5458279418,57.6418719395,-68.3809
-167.5458168528,57.6418726059,-68.6265
-167.545807448,57.6418731419,-68.5956
-167.5457975909,57.6418737096,-68.5989
-167.5457878365,57.6418742693,-68.5751
-167.5457773416,57.6418748851,-68.6582
-167.5457659757,57.6418755697,-68.8649
-167.545753505,57.6418763378,-69.2457
-167.5457454023,57.64187677,-68.9248
-167.5457366569,57.641877253,-68.7014
-167.5457275107,57.6418777677,-68.5345
-167.5457187378,57.6418782589,-68.3424
-167.5457101606,57.6418787334,-68.0934
-167.5457038676,57.6418790395,-67.5428
-167.5457038286,57.6418788894,-66.2031
-167.5456946613,57.6418794156,-66.0592
-167.5456624271,57.6418816264,-68.7932
-167.545649938,57.6418823845,-68.9782
-167.5456393646,57.6418830067,-68.9212
-167.5456291862,57.6418836009,-68.8093
-167.5456193022,57.6418841774,-68.683
-167.5456093775,57.6418847534,-68.5275
-167.5455998403,57.6418853043,-68.3259
-167.5455902449,57.6418858605,-68.1269
-167.5455791827,57.641886521,-68.0781
-167.5455663475,57.6418873073,-68.2249
-167.5455525443,57.6418881584,-68.4282
-167.5455390236,57.6418889875,-68.5817
-167.5455265738,57.6418897445,-68.6165
-167.5455151649,57.6418904303,-68.5601
-167.5455044346,57.641891069,-68.4079
-167.5454945128,57.641891653,-68.174
-167.5454841052,57.6418922714,-67.9797
-167.5454724433,57.6418929753,-67.8892
-167.5454590973,57.6418937965,-67.9588
-167.545444431,57.6418947069,-68.1055
-167.5454305455,57.6418955615,-68.1642
-167.5454144166,57.6418965696,-68.4027
-167.5453993996,57.6418975015,-68.5207
-167.5453838893,57.6418984679,-68.6826
-167.5453715121,57.6418992233,-68.5583
-167.5453599667,57.6418999216,-68.3564
-167.5453480884,57.6419006453,-68.1754
-167.5453359266,57.6419013893,-68.0272
-167.5453233357,57.6419021623,-67.8809
-167.5453087416,57.6419030684,-67.8671
-167.5452964272,57.6419038243,-67.6907
-167.5452850203,57.6419045213,-67.4296
-167.5452738491,57.641905205,-67.167
-167.5452630895,57.6419058605,-66.847
-167.5452515335,57.641906571,-66.576
-167.5452367747,57.6419074921,-66.5033
-167.5452004196,57.6419041296,-67.6485
-167.5451850403,57.6419050522,-67.5634
-167.5451668525,57.6419061453,-67.6391
-167.5451519279,57.6419070443,-67.4976
-167.5451364686,57.6419079758,-67.3733
-167.5451137525,57.6419093415,-67.6802
-167.5450963349,57.6419103923,-67.6396
-167.545077221,57.6419115459,-67.6723
-167.5450574142,57.641912742,-67.7233
-167.5450376707,57.6419139345,-67.7697
-167.5450188764,57.6419150718,-67.7221
-167.5450014471,57.6419161295,-67.5845
-167.5449848094,57.6419171421,-67.3907
-167.5449681256,57.6419181576,-67.1817
-167.5449416448,57.6419197589,-67.4749
-167.5449209798,57.6419210156,-67.4275
-167.5448989818,57.641922352,-67.426
-167.5448846257,57.641923236,-67.0344
-167.5448642974,57.6419244762,-66.9337
-167.5448431511,57.6419257675,-66.829
-167.5448210071,57.6419271203,-66.759
-167.5447975099,57.6419285554,-66.7169
-167.5447718923,57.6419301183,-66.7426
-167.5447471405,57.6419316316,-66.7292
-167.5447236286,57.6419330727,-66.6162
-167.5446986131,57.6419346066,-66.5411
-167.5446707338,57.641936313,-66.5564
-167.5446438099,57.6419379641,-66.5062
-167.5446173106,57.6419395917,-66.4324
-167.5445902504,57.6419412558,-66.3287
-167.5445620171,57.641942993,-66.2447
-167.5445379128,57.6419444861,-65.9761
-167.5445054284,57.6419464804,-66.0147
-167.5444758736,57.6419483037,-65.8975
-167.5444456437,57.6419501702,-65.7656
-167.5444103486,57.6419523418,-65.7802
-167.5443816284,57.6419541246,-65.5331
-167.5443460646,57.6419563176,-65.5095
-167.5443150831,57.6419582415,-65.2798
-167.5442792184,57.6419604604,-65.1703
-167.5442410192,57.6419628224,-65.0996
-167.5442017095,57.6419652536,-65.0479
-167.5441580645,57.6419679498,-65.0533
-167.5441129549,57.6419707377,-65.0619
-167.5440706648,57.6419733617,-64.9361
-167.5440281786,57.6419760018,-64.7724
-167.5439849724,57.6419786879,-64.6095
-167.5439403798,57.6419814637,-64.4125
-167.5438924731,57.6419844437,-64.2518
-167.5438361399,57.6419879354,-64.2578
-167.5437863075,57.6419910398,-64.0707
-167.5437368538,57.6419941294,-63.7947
-167.5436745624,57.6419979978,-63.7655
-167.5436083943,57.6420021065,-63.7624
-167.5487411822,57.6417081349,-62.737
-167.5486736346,57.6417117853,-62.7377
-167.5486185874,57.6417147263,-62.9412
-167.5485632184,57.6417176899,-63.1022
-167.5485285704,57.6417194569,-63.7356
-167.5484839204,57.6417218109,-64.0669
-167.548439836,57.6417241433,-64.3391
-167.5483974328,57.6417263791,-64.6403
-167.548348837,57.6417289842,-64.7194
-167.5483078269,57.6417311516,-64.9661
-167.5482607086,57.6417336836,-64.9848
-167.5482162231,57.6417360726,-65.0121
-167.548175402,57.6417382482,-65.1232
-167.5481405071,57.6417400806,-65.3763
-167.5481033487,57.6417420517,-65.5204
-167.5480692077,57.6417438499,-65.728
-167.5480322169,57.641745826,-65.7734
-167.5479947615,57.6417478312,-65.7955
-167.5479629558,57.6417495058,-65.9672
-167.547935256,57.6417509407,-66.2552
-167.5479038367,57.6417526056,-66.352
-167.5478705388,57.6417543836,-66.3735
-167.5478407399,57.6417559556,-66.4965
-167.5478096405,57.6417576123,-66.5334
-167.5477817037,57.641759082,-66.6567
-167.5477558147,57.6417604381,-66.8097
-167.5477292315,57.6417618349,-66.9319
-167.5477011637,57.6417633252,-66.9712
-167.5476724086,57.6417648613,-66.9469
-167.5476440066,57.6417663852,-66.884
-167.5476180475,57.6417677597,-66.9173
-167.5475939699,57.6417690247,-67.0121
-167.5476183619,57.6417673356,-69.2325
-167.5475953901,57.6417685344,-69.3606
-167.5475180875,57.6417730661,-66.9482
-167.5474973842,57.6417741382,-67.0921
-167.5474754652,57.6417752878,-67.1574
-167.5474543923,57.6417763905,-67.243
-167.5474359077,57.6417773383,-67.4163
-167.5474176393,57.6417782719,-67.6008
-167.5473973384,57.6417793346,-67.6647
-167.5473791456,57.6417802686,-67.817
-167.547360977,57.6417812037,-67.9532
-167.5473379963,57.6417824442,-67.7899
-167.5473189323,57.6417834417,-67.8381
-167.5473032456,57.6417842301,-68.0544
-167.5472872,57.6417850429,-68.2369
-167.5472701841,57.6417859225,-68.3267
-167.5472395256,57.641792612,-67.6975
-167.547221923,57.6417934901,-67.7263
-167.5472044443,57.6417943632,-67.7443
-167.5471848722,57.6417953632,-67.616
-167.5471656701,57.6417963442,-67.4712
-167.5471487412,57.6417971922,-67.4643
-167.5471292012,57.641798194,-67.2921
-167.5471157512,57.6417988422,-67.4756
-167.5471026828,57.6417994681,-67.6731
-167.5470886515,57.6418001564,-67.7732
-167.5470753147,57.641800801,-67.9302
-167.5470640423,57.6418013263,-68.2201
-167.547052602,57.6418018609,-68.4934
-167.5470417686,57.6418023632,-68.7818
-167.5470296365,57.6418029424,-69.0042
-167.5470159679,57.6418036133,-69.0884
-167.5469998424,57.6418044349,-68.9686
-167.5469846196,57.6418052045,-68.8999
-167.5469667391,57.641806139,-68.5789
-167.5469464859,57.6418072186,-68.069
-167.5469317157,57.641807968,-67.9723
-167.5469157001,57.6418087947,-67.7529
-167.5469003309,57.6418095889,-67.5449
-167.5468864627,57.6418102879,-67.4706
-167.5468709279,57.6418110917,-67.2323
-167.5468592915,57.6418116606,-67.3237
-167.5468480293,57.6418122062,-67.4389
-167.5468373866,57.6418127179,-67.5795
-167.5468264249,57.6418132491,-67.7064
-167.5468154392,57.6418137811,-67.8222
-167.546804895,57.641814287,-67.9732
-167.5467953955,57.6418147321,-68.198
-167.5467861453,57.6418151629,-68.4701
-167.5467773066,57.6418155649,-68.7828
-167.5467629901,57.64181631,-68.5094
-167.5467467313,57.6418171827,-68.001
-167.5467333664,57.6418178758,-67.7556
-167.5467203764,57.6418185463,-67.5573
-167.5467114283,57.6418189621,-67.807
-167.546702613,57.6418193698,-68.071
-167.5466935471,57.6418197968,-68.277
-167.5466844307,57.6418202244,-68.5016
-167.5466752726,57.6418206551,-68.719
-167.546666144,57.6418210843,-68.9381
-167.5466567335,57.641821535,-69.1313
-167.5466448357,57.6418221489,-68.9443
-167.5466287176,57.6418230407,-68.1865
-167.5466184997,57.6418235463,-68.213
-167.5466093637,57.641823982,-68.3857
-167.546598832,57.6418245105,-68.3494
-167.546588629,57.6418250242,-68.3186
-167.5465783476,57.6418255388,-68.2956
-167.5465682258,57.6418260442,-68.2859
-167.5465584982,57.6418265288,-68.3287
-167.5465491046,57.641826991,-68.3855
